City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
264,San Patricio,US,79.0,scattered clouds,28.02,-97.52,"Motel 6 Sinton, TX"
270,Alugan,PH,85.12,light rain,12.22,125.48,BEMBEM RAIN FEED RESORT
272,Miracema Do Tocantins,BR,79.3,broken clouds,-9.56,-48.4,Miami Apart Hotel
277,Suez,EG,71.69,clear sky,29.97,32.53,Green House
285,Casa Grande,US,75.2,clear sky,32.88,-111.76,Holiday Inn Casa Grande
289,Samana,DO,76.42,overcast clouds,19.21,-69.34,The Bannister - Hotel & Yacht Club
290,Tekkali,IN,86.97,broken clouds,18.62,84.23,Trinath Gantayat
291,Lorengau,PG,84.09,overcast clouds,-2.02,147.27,Lorengau Harbourside Hotel
292,Lishui,CN,72.27,broken clouds,28.46,119.91,Bayi Hotel
293,Port Blair,IN,84.29,moderate rain,11.67,92.75,Fortune Resort Bay Island
294,Pemangkat,ID,84.92,broken clouds,1.17,108.97,Kost H.Syamsuddin
296,Wajir,KE,78.8,light rain,1.75,40.06,Al- Amin lodge
298,Balkanabat,TM,74.8,clear sky,39.51,54.37,Nebitchi Hotel
300,Fare,PF,79.88,scattered clouds,-16.7,-151.02,Maitai Lapita Village Huahine
304,Talagang,PK,84.76,clear sky,32.93,72.42,Al-mahran Cold Bar
305,Santiago De Cuba,CU,77.0,few clouds,20.02,-75.82,Cubanacan San Felix
308,Nouadhibou,MR,77.0,scattered clouds,20.93,-17.03,El Medina
310,Naze,JP,80.6,broken clouds,28.37,129.48,奄美ポートタワーホテル
312,Villarrica,PY,73.31,clear sky,-25.75,-56.43,Mansión Reljuv Tours SA
313,Denpasar,ID,84.2,broken clouds,-8.65,115.22,ASTON Denpasar Hotel & Convention Center
314,Gasa,PS,71.01,clear sky,31.5,34.47,رابطة الفنانين الفلسطينيين
317,Manzanillo,CU,75.13,overcast clouds,20.34,-77.12,Adrian & Tonia
318,Kirakira,SB,84.02,moderate rain,-10.45,161.92,SanBiz Lodge
324,Kahului,US,84.2,few clouds,20.89,-156.47,Maui Seaside Hotel
325,Popondetta,PG,88.59,broken clouds,-8.75,148.25,Timos Transit House
327,Sibolga,ID,88.38,scattered clouds,1.74,98.78,Hotel Syariah CN Darussalam
328,Gainesville,US,73.4,overcast clouds,29.65,-82.32,Wyndham Garden Gainesville
329,Juba,SS,72.54,light rain,4.85,31.58,ROYAL PALACE HOTEL - JUBA
331,Yulara,AU,89.6,scattered clouds,-25.24,130.99,Desert Gardens Hotel - Ayers Rock Resort
332,Arraias,BR,72.86,scattered clouds,-12.93,-46.94,Hotel Japão
334,Laguna,US,71.01,clear sky,38.42,-121.42,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
335,Meulaboh,ID,87.98,clear sky,4.14,96.13,Kost Pria
337,Tarakan,ID,80.58,overcast clouds,3.3,117.63,RedDoorz Syariah near Taman Berlabuh Tarakan
344,Maragogi,BR,74.21,few clouds,-9.01,-35.22,Salinas do Maragogi All Inclusive Resort
345,Tiquisio,CO,74.3,overcast clouds,8.56,-74.27,Hotel ZulyMar
